Filenames,Class
CRF022_T_1_ch5_106.png,T
CRF022_T_1_ch5_119.png,T
CRF022_T_1_ch5_123.png,T
CRF022_T_1_ch5_128.png,T
CRF022_T_1_ch5_134.png,T
CRF022_T_1_ch5_138.png,T
CRF022_T_1_ch5_149.png,T
CRF022_T_1_ch5_152.png,T
CRF022_T_1_ch5_163.png,T
CRF022_T_1_ch5_167.png,T
CRF022_T_1_ch5_172.png,T
CRF022_T_1_ch5_175.png,T
CRF022_T_1_ch5_178.png,T
CRF022_T_1_ch5_184.png,T
CRF022_T_1_ch5_185.png,T
CRF022_T_1_ch5_191.png,T
CRF022_T_1_ch5_198.png,T
CRF022_T_1_ch5_204.png,T
CRF022_T_1_ch5_216.png,T
CRF022_T_1_ch5_218.png,T
CRF022_T_1_ch5_224.png,T
CRF022_T_1_ch5_234.png,T
CRF022_T_1_ch5_237.png,T
CRF022_T_1_ch5_243.png,T
CRF022_T_1_ch5_253.png,T
CRF022_T_1_ch5_254.png,T
CRF022_T_1_ch5_260.png,T
CRF022_T_1_ch5_265.png,T
CRF022_T_1_ch5_267.png,T
CRF022_T_1_ch5_27.png,T
CRF022_T_1_ch5_29.png,T
CRF022_T_1_ch5_294.png,T
CRF022_T_1_ch5_296.png,T
CRF022_T_1_ch5_30.png,T
CRF022_T_1_ch5_310.png,T
CRF022_T_1_ch5_312.png,T
CRF022_T_1_ch5_313.png,T
CRF022_T_1_ch5_321.png,T
CRF022_T_1_ch5_327.png,T
CRF022_T_1_ch5_331.png,T
CRF022_T_1_ch5_335.png,T
CRF022_T_1_ch5_346.png,T
CRF022_T_1_ch5_349.png,T
CRF022_T_1_ch5_355.png,T
CRF022_T_1_ch5_365.png,T
CRF022_T_1_ch5_370.png,T
CRF022_T_1_ch5_380.png,T
CRF022_T_1_ch5_381.png,T
CRF022_T_1_ch5_393.png,T
CRF022_T_1_ch5_394.png,T
CRF022_T_1_ch5_400.png,T
CRF022_T_1_ch5_419.png,T
CRF022_T_1_ch5_42.png,T
CRF022_T_1_ch5_427.png,T
CRF022_T_1_ch5_440.png,T
CRF022_T_1_ch5_449.png,T
CRF022_T_1_ch5_451.png,T
CRF022_T_1_ch5_463.png,T
CRF022_T_1_ch5_465.png,T
CRF022_T_1_ch5_467.png,T
CRF022_T_1_ch5_471.png,T
CRF022_T_1_ch5_474.png,T
CRF022_T_1_ch5_477.png,T
CRF022_T_1_ch5_487.png,T
CRF022_T_1_ch5_492.png,T
CRF022_T_1_ch5_493.png,T
CRF022_T_1_ch5_498.png,T
CRF022_T_1_ch5_503.png,T
CRF022_T_1_ch5_512.png,T
CRF022_T_1_ch5_523.png,T
CRF022_T_1_ch5_542.png,T
CRF022_T_1_ch5_543.png,T
CRF022_T_1_ch5_550.png,T
CRF022_T_1_ch5_56.png,T
CRF022_T_1_ch5_562.png,T
CRF022_T_1_ch5_567.png,T
CRF022_T_1_ch5_574.png,T
CRF022_T_1_ch5_575.png,T
CRF022_T_1_ch5_580.png,T
CRF022_T_1_ch5_584.png,T
CRF022_T_1_ch5_590.png,T
CRF022_T_1_ch5_593.png,T
CRF022_T_1_ch5_61.png,T
CRF022_T_1_ch5_610.png,T
CRF022_T_1_ch5_611.png,T
CRF022_T_1_ch5_627.png,T
CRF022_T_1_ch5_629.png,T
CRF022_T_1_ch5_640.png,T
CRF022_T_1_ch5_649.png,T
CRF022_T_1_ch5_650.png,T
CRF022_T_1_ch5_655.png,T
CRF022_T_1_ch5_666.png,T
CRF022_T_1_ch5_669.png,T
CRF022_T_1_ch5_672.png,T
CRF022_T_1_ch5_712.png,T
CRF022_T_1_ch5_716.png,T
CRF022_T_1_ch5_721.png,T
CRF022_T_1_ch5_727.png,T
CRF022_T_1_ch5_739.png,T
CRF022_T_1_ch5_741.png,T
CRF022_T_1_ch5_755.png,T
CRF022_T_1_ch5_76.png,T
CRF022_T_1_ch5_763.png,T
CRF022_T_1_ch5_764.png,T
CRF022_T_1_ch5_766.png,T
CRF022_T_1_ch5_767.png,T
CRF022_T_1_ch5_769.png,T
CRF022_T_1_ch5_77.png,T
CRF022_T_1_ch5_777.png,T
CRF022_T_1_ch5_799.png,T
CRF022_T_1_ch5_8.png,T
CRF022_T_1_ch5_804.png,T
CRF022_T_1_ch5_805.png,T
CRF022_T_1_ch5_806.png,T
CRF022_T_1_ch5_810.png,T
CRF022_T_1_ch5_82.png,T
CRF022_T_1_ch5_823.png,T
CRF022_T_1_ch5_825.png,T
CRF022_T_1_ch5_833.png,T
CRF022_T_1_ch5_834.png,T
CRF022_T_1_ch5_843.png,T
CRF022_T_1_ch5_844.png,T
CRF022_T_1_ch5_845.png,T
CRF022_T_1_ch5_847.png,T
CRF022_T_1_ch5_852.png,T
CRF022_T_1_ch5_854.png,T
CRF022_T_1_ch5_868.png,T
CRF022_T_1_ch5_869.png,T
CRF022_T_1_ch5_88.png,T
CRF022_T_1_ch5_884.png,T
CRF022_T_1_ch5_90.png,T
CRF022_T_2_ch5_1.png,T
CRF022_T_2_ch5_106.png,T
CRF022_T_2_ch5_114.png,T
CRF022_T_2_ch5_115.png,T
CRF022_T_2_ch5_121.png,T
CRF022_T_2_ch5_135.png,T
CRF022_T_2_ch5_14.png,T
CRF022_T_2_ch5_144.png,T
CRF022_T_2_ch5_15.png,T
CRF022_T_2_ch5_160.png,T
CRF022_T_2_ch5_164.png,T
CRF022_T_2_ch5_165.png,T
CRF022_T_2_ch5_166.png,T
CRF022_T_2_ch5_18.png,T
CRF022_T_2_ch5_180.png,T
CRF022_T_2_ch5_181.png,T
CRF022_T_2_ch5_182.png,T
CRF022_T_2_ch5_184.png,T
CRF022_T_2_ch5_186.png,T
CRF022_T_2_ch5_191.png,T
CRF022_T_2_ch5_194.png,T
CRF022_T_2_ch5_206.png,T
CRF022_T_2_ch5_21.png,T
CRF022_T_2_ch5_226.png,T
CRF022_T_2_ch5_238.png,T
CRF022_T_2_ch5_25.png,T
CRF022_T_2_ch5_26.png,T
CRF022_T_2_ch5_260.png,T
CRF022_T_2_ch5_261.png,T
CRF022_T_2_ch5_271.png,T
CRF022_T_2_ch5_272.png,T
CRF022_T_2_ch5_273.png,T
CRF022_T_2_ch5_274.png,T
CRF022_T_2_ch5_293.png,T
CRF022_T_2_ch5_301.png,T
CRF022_T_2_ch5_313.png,T
CRF022_T_2_ch5_318.png,T
CRF022_T_2_ch5_321.png,T
CRF022_T_2_ch5_322.png,T
CRF022_T_2_ch5_333.png,T
CRF022_T_2_ch5_342.png,T
CRF022_T_2_ch5_364.png,T
CRF022_T_2_ch5_367.png,T
CRF022_T_2_ch5_373.png,T
CRF022_T_2_ch5_386.png,T
CRF022_T_2_ch5_393.png,T
